adjective,RACE,character_class,Origin,Who,Sentimental magic item d100,Magical item
Abrasive,AARAKOCRA,ARTIFICER,the city sewers,always dreamed of being a mathmatician,"3 shot glasses with markings on the side, when all the glasses are empty, any alcohol poured into one glass fills the other two as well. The markings on the glass move to indicator the level of the other two glasses. A creation of an artificer dwarf for his two brothers as the sought out life beyond the mines. Funny enough, doesn't work when [insert hated alcohol] is poured in it.","ALCHEMY JUG
This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. Sloshing sounds can be heard from within the jug when it is shaken, even if the jug is empty.
You can use an action and name one liquid from the table below to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as an action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.
Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.
Acid        8 ounces, Basic poison        1/2 ounce, Beer        4 gallons, Honey        1 gallon, Mayonnaise        2 gallons, Oil        1 quart, Vinegar        2 gallons, Water, fresh        8 gallons, Water, salt        12 gallons, Wine        1 gallon
"
Adaptable,AASIMAR,BARBARIAN,a village without children,always dreamed of being a poet,"A 5"" by 5"" wooden cube that, when properly closed, creates a small pocket dimension inside where time doesn't flow at all. Made by a lich who used it to keep his beloved pet hamster alive over hundreds of years.","Animated Helmet (Wondrous Item): While wearing this helmet, you can use a bonus action to speak its command word. The helmet leaps into the air and hovers in your space for 1 minute."
Adventurous,BUGBEAR,BARD,an idyllic pastoral farm ,always forgets to look down,A backpack that magically sorts everything in it to fit in as much stuff as possible. Made for a traveling merchant who was bad at packing the essentials.,"Animated Shield
While holding this Shield, you can speak its Command word as a Bonus Action to cause it to animate. The Shield leaps into the air and hovers in your space to protect you as if you were wielding it, leaving your hands free. The Shield remains animated for 1 minute, until you use a Bonus Action to end this Effect, or until you are Incapacitated or die, at which point the Shield falls to the ground or into your hand if you have one free.
"
Aggressive,CENTAUR,BLOOD HUNTER,a cursed forest,always has their nose in a book,A bedroll that creates a mild water repellent barrier around it as long as someone is laying on it. A gift made for a traveling merchant so that he wouldn't worry about sleeping in the rain.,"Apparatus of the Crab
This item first appears to be a Large sealed iron Barrel weighing 500 pounds. The Barrel has a hidden catch, which can be found with a successful DC 20 Intelligence (Investigation) check. Releasing the catch unlocks  a hatch at one end of the Barrel, allowing two Medium or smaller creatures to crawl inside. Ten levers are set in a row at the far end, each in a neutral position, able to move either up or down. When certain levers are used, the apparatus transforms to resemble a giant lobster.

The apparatus of the Crab is a Large object with the following statistics:

Armor Class: 20
Hit Points: 200
Speed: 30 ft., swim 30 ft. (or 0 ft. for both if the legs and tail aren't extended)
Damage Immunities: poison, psychic

To be used as a vehicle, the apparatus requires one pilot. While the apparatus's hatch is closed, the compartment is airtight and watertight. The compartment holds enough air for 10 hours of breathing, divided by the number of breathing creatures inside.

The apparatus floats on water. It can also go Underwater to a depth of 900 feet. Below that, the vehicle takes 2d6 bludgeoning damage per minute from pressure.

A creature in the compartment can use an action to move as many as two of the apparatus's levers up or down. After each use, a lever goes back to its neutral position. Each lever, from left to right, functions as show in the Apparatus of the Crab Levers table.

Apparatus of the Crab Levers
Lever        Up        Down
1        Legs and tail extend, allowing the apparatus to walk and swim.        Legs and tail retract, reducing the apparatus's speed to 0 and making it unable to benefit from bonuses to speed.
2        Forward window shutter opens.        Forward window shutter closes
3        Side window shutters open (two per side).        Side window shutters close (two per side).
4        Two claws extend from the front sides of the apparatus.        The claws retract.
5        Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: 7 (2d6) bludgeoning damage.        Each extended claw makes the following melee weapon attack: +8 to hit, reach 5 ft., one target. Hit: The target is Grappled (escape DC 15).
6        The apparatus walks or swims forward.        The apparatus walks or swims backward.
7        The apparatus turns 90 degrees left.        The apparatus turns 90 degrees right.
8        Eyelike fixtures emit bright light in a 30-foot radius and dim light for an additional 30 feet.        The light turns off.
9        The apparatus sinks as much as 20 feet in liquid.        The apparatus rises up to 20 feet in liquid.
10        The rear hatch unseals and opens.        The rear hatch closes and seals.
"
Ambitious,CHANGELING,CLERIC,a giant oak tree,always takes off one accessory before they leave home,A bracelet with a single misshaped pearl that makes the wearer smell like an ocean breeze. Made for a Teifling dancer as a birthday gift.,"Archer's Ally (Wondrous Item, requires attunement): This quiver normally holds 20 arrows or bolts. You can use a bonus action to draw and transform the quiver into a short sword. If the quiver contained at least 10 arrows or bolts, then the short sword grants a +1 bonus to attack and damage rolls made with it. (if at 20 +2. possibly make it upgrade when the player hits lvl 10 to 30 arrows / +3)"
anarchist,,DRUID,a village on the back of a Tarrasque,appreciates a good spreadsheet,"A brass gauntlet that glows a different color depending on what time of day it is (Blue for night, yellow for day, Green for dawn, Purple for dusk). Made for a coal miner by his boss so that he would when he could go home.","Armor of Gleaming
Armor (any medium or heavy), common
This armor never gets dirty.

 "
Anxious,DRAGONBORN,FIGHTER,a cavern without echoes,brews the best beer in town,A brass spoon that neutralizes any harmful toxin within a liquid one spoonful at a time. Made for a Duke's son after he received a death threat via mail.,"Bag of Beans
Inside this heavy cloth bag are 3d4 dry beans. The bag weighs 1/2 pound plus 1/4 pound for each bean it contains.

If you dump the bag's contents out on the ground, they explode in a 10-foot radius, extending from the beans. Each creature in the area, including you, must make a DC 15 Dexterity saving throw, taking 5d4 fire damage on a failed save, or half as much damage on a successful one. The fire ignites flammable Objects in the area that aren't being worn or carried.

If you remove a bean from the bag, plant it in dirt or sand, and then water it, the bean produces an Effect 1 minute later from the ground where it was planted. The DM can choose an Effect from the following table, determine it randomly, or create an Effect.

d100 — Effect:

01 — 5d4 toadstools sprout. If a creature eats a toadstool, roll any die. On an odd roll, the eater must succeed on a DC 15 Constitution saving throw or take Sd6 poison damage and become Poisoned for 1 hour. On an even roll, the eater gains 5d6 temporary Hit Points for 1 hour.

2-10 — A geyser erupts and spouts water, beer, berry juice, tea, vinegar, wine, or oil (DM's choice) 30 feet into the air for 1d12 rounds.

11-20 — A Treant sprouts (see the Monster Manual for statistics). There's a 50 percent chance that the Treant is chaotic evil and attacks.

21-30 — An animate, immobile stone statue in your likeness rises. It makes verbal threats against you. If you leave it and others come near, it describes you as the most heinous of Villains and directs the newcomers to find and Attack you. If you are on the same plane of existence as the statue, it knows where you are. The statue becomes inanimate after 24 hours.

31-40 — A campfire with blue flames springs forth and burns for 24 hours (or until it is extinguished).

41-50 — 1d6 + 6 shriekers sprout (see the Monster Manual for statistics).

51-60 — 1d4 + 8 bright pink toads crawl forth. Whenever a toad is Touched, it transforms into a Large or smaller monster of the DM's choice. The monster remains for 1 minute, then disappears in a puff of bright pink smoke.

61-70 — A hungry Bulette (see the Monster Manual for statistics) burrows up and attacks.

71-80 A fruit tree grows. It has 1d10+20 fruit, 1d8 of which act as randomly determined magic Potions, while one acts as an ingested poison of the DM's choice. The tree vanishes after 1 hour. Picked fruit remains, retaining any magic for 30 days.

81-90 — A nest of 1d4 + 3 eggs springs up. Any creature that eats an egg must make a DC 20 Constitution saving throw. On a successful save, a creature permanently increases its lowest ability score by 1, randomly choosing among equally low scores. On a failed save, the creature takes 10d6 force damage from an internal magical explosion.

91-99 — A pyramid with a 60-foot-square base bursts upward. Inside is a sarcophagus containing a Mummy Lord (see the Monster Manual for statistics). The pyramid is treated as the mummy lord's lair, and its sarcophagus contains Treasure of the DM's choice.

00 — A giant beanstalk sprouts, growing to a height of the DM's choice. The top leads where the DM chooses, such as to a great view, a cloud giant's castle, or a different plane of existence."
Apathetic,DWARF,MONK,an elaborate cave system,can't count,A bronze bird medallion that gives off the sound of gentle bird whistling. Made for a Gnome after his forest home was torn torn.,"Bag of Crab Holding (Wondrous Item): This bag can hold up to 500 pounds of crabs, but weighs 15 pounds regardless of its contents. Retrieving an item from the bag requires an action."
Argumentative,ELF,PALADIN,a floating island,can't flirt,A broom with a hickory handle that sweeps an area of 30 ft x 30 ft to the best of it's ability. Made for a tavern owner after his spouse died.,"Bag of Tricks
This ordinary bag, made from gray, rust, or tan cloth, appears empty. Reaching inside the bag, however, reveals the presence of a small, fuzzy object. The bag weighs 1/2 pound.
You can use an action to pull the fuzzy object from the bag and throw it up to 20 feet. When the object lands, it transforms into a creature you determine by rolling a d8 and consulting the table that corresponds to the bag's color. The creature vanishes at the next dawn or when it is reduced to 0 Hit Points.
The creature is friendly to you and your companions, and it acts on Your Turn. You can use a Bonus Action to Command how the creature moves and what action it takes on its next turn, or to give it general orders, such as to Attack your enemies. In the absence of such orders, the creature acts in a fashion appropriate to its Nature.
Once three fuzzy Objects have been pulled from the bag, the bag can't be used again until the next dawn.

Gray Bag of Tricks
d8        Creature
1        Weasel
2        Giant rat
3        Badger
4        Boar
5        Panther
6        Giant Badger
7        Dire Wolf
8        Giant Elk

Rust Bag of Tricks
d8        Creature
1        Rat
2        Owl
3        Mastiff
4        Goat
5        Giant goat
6        Giant boar
7        Lion
8        Brown Bear

Tan Bag of Tricks
d8        Creature
1        Jackal
2        Ape
3        Baboon
4        Axe Beak
5        Black Bear
6        Giant Weasel
7        Giant hyena
8        Tiger
"
Boring,FAIRY,RANGER,an airship hovering above the capital city,can't lie without sweating,A collar that keeps the wearers' airway clear. Made for a gnoll that had bad allergies.,"Bagpipes of Invisibility (Wondrous Item): While playing this musical instrument, you can use an action to turn invisible for 1 round. You become visible if you stop playing, make an attack, or cast a spell. "
